,title,abstract
0,Cortical control of ocular saccades in humans: a model for motricity.,"Our knowledge of the cortical control of saccadic eye movements (saccades) in humans has recently progressed mainly thanks to lesion and transcranial magnetic stimulation (TMS) studies, but also to functional imaging. It is now well-known that the frontal eye field is involved in the triggering of intentional saccades, the parietal eye field in that of reflexive saccades, the supplementary eye field (SEF) in the initiation of motor programs comprising saccades, the pre-SEF in learning of these programs, and the dorsolateral prefrontal cortex (DLPFC) in saccade inhibition, prediction and spatial working memory. Saccades may also be used as a convenient model of motricity to study general cognitive processes preparing movements, such as attention, spatial memory and motivation. Visuo-spatial attention appears to be controlled by a bilateral parieto-frontal network comprising different parts of the posterior parietal cortex and the frontal areas involved in saccade control, suggesting that visual attentional shifts and saccades are closely linked. Recently, our understanding of the cortical control of spatial memory has noticeably progressed by using the simple visuo-oculomotor model represented by the memory-guided saccade paradigm, in which a single saccade is made to the remembered position of a unique visual item presented a while before. TMS studies have determined that, after a brief stage of spatial integration in the posterior parietal cortex (inferior to 300 ms), short-term spatial memory (i.e. up to 15-20 s) is controlled by the DLPFC. Behavioral and lesion studies have shown that medium-term spatial memory (between 15-20 s and a few minutes) is specifically controlled by the parahippocampal cortex, before long-term memorization (i.e. after a few minutes) in the hippocampal formation. Lastly, it has been shown that the posterior part of the anterior cingulate cortex, called the cingulate eye field, is involved in motivation and the preparation of all intentional saccades, but not in reflexive saccades. These different but complementary study methods used in humans have thus contributed to a better understanding of both eye movement physiology and general cognitive processes preparing motricity as whole."
1,Motor cortical disinhibition in the unaffected hemisphere after unilateral cortical stroke.,"Following a hemispheric stroke, various degrees of neuronal reorganization around the lesion occur immediately after disease onset and thereafter up to several months. These include transcallosal excitability, changes of the intact motor cortex and ipsilateral motor responses after transcranial magnetic stimulation (TMS) on the intact hemisphere. To elucidate the relationship between lesion localization and motor cortex excitability (intracortical inhibition; ICI) in the intact hemisphere, we applied a paired conditioning-test TMS paradigm in 12 patients with unilateral cortical stroke (cortical group) and nine patients with subcortical stroke caudal to the corpus callosum (subcortical group), with interstimulus intervals varying from 1 to 10 ms. All patients exhibited unilateral complete hand palsy. ICI was significantly less in the cortical group than in age-matched healthy control subjects. It was especially more marked in the cortical group patients with a disease duration of less than 4 months after onset. Patients in the cortical group with a duration longer than 4 months showed a tendency for ICI to be normalized, and there was a significant correlation between ICI and disease duration. Patients in the subcortical group showed normal excitability curves. All patients in the cortical group showed no transcallosal inhibition (TCI) in the active unaffected hand muscle after TMS of the affected motor cortex, whereas all the subcortical patients showed some TCI. No ipsilateral motor responses were elicited in the paretic hand in any of the patients. The reduced ICI in the cortical group might have been a result of disruption of TCI. The normalization of ICI in the patients with longer disease duration and the normal ICI in the subcortical group patients do not support the functional significance of motor cortex hyperexcitability in the unaffected hemisphere, at least in a patient population with poor motor recovery."
2,Cortical control of spatial memory in humans: the visuooculomotor model.,"We review current knowledge of the cortical control of spatial memory, studied using visuooculomotor paradigms. Spatial memory is an essential cognitive process that can be involved in preparing motor responses. Our knowledge of spatial memory in humans recently has progressed thanks to the use of ocular saccades as a convenient model of motor behavior. Accuracy of memory-guided saccades, made to the remembered locations of visual targets, is a reflection of spatial memory. For the performance of memory-guided saccades with brief delays (up to 15-20 seconds), that is, involving short-term spatial memory, lesion studies have shown that the posterior parietal cortex, the dorsolateral prefrontal cortex, and the frontal eye field play significant roles. Studies of memory-guided saccades using transcranial magnetic stimulation have suggested that the right posterior parietal cortex is involved at the initial stage (<300 milliseconds) of visuospatial integration, whereas the dorsolateral prefrontal cortex in both hemispheres controls the following phase of short-term memorization, the frontal eye field mainly serving to trigger saccades. The new concept of a medium-term spatial memory has emerged from a behavioral study of memory-guided saccades in normal subjects, showing a paradoxical spontaneous improvement of spatial memory after delays of approximately 20 seconds. Lesion studies have shown that the parahippocampal cortex could specifically control this medium-term spatial memory. Last, different experimental and clinical arguments suggest that, after a few minutes, the hippocampal formation finally takes over the control of spatial memory for long-term spatial memorization. Therefore, spatial memory involved in the memorization of visual items could be successively controlled by the dorsolateral prefrontal cortex (short-term spatial memory), the parahippocampal cortex (medium-term spatial memory), and the hippocampal formation (long-term spatial memory), depending on specific periods of times. The applicability of this simple visuooculomotor model of spatial memory to other types of stimuli and general motoricity has yet to be confirmed."
3,Effects of cortical lesions on saccadic: eye movements in humans.,"Our knowledge of the cortical control of saccadic eye movements (saccades) in humans has recently progressed mainly because of lesion and transcranial magnetic stimulation (TMS) studies, but also because of functional imaging. It is now well known that the frontal eye field is involved in the control of intentional saccades, the parietal eye field in that of reflexive saccades, the supplementary eye field (SEF) in the initiation of motor programs comprising saccades, the pre-SEF in the learning of these programs, and the dorsolateral prefrontal cortex (DLPFC) in saccade inhibition, prediction and spatial working memory. Saccades may also be used as a convenient model of motricity to study general cognitive processes such as motivation and spatial memory. Thus, it has been shown that the posterior part of the anterior cingulate cortex, called the cingulate eye field, is involved in motivation and the preparation of all intentional saccades, but not in reflexive saccades. Recently, our understanding of the cortical control of spatial memory has noticeably progressed by using the simple visuo-oculomotor model represented by the memory-guide saccade paradigm, in which a single saccade is made to the remembered position of a unique visual item presented a while before. Transcranial magnetic stimulation studies have determined that after a brief stage of spatial integration in the posterior parietal cortex (inferior to 300 ms), short-term spatial memory (i.e., up to 15-20 seconds) is controlled by the DLPFC. Behavioral and lesion studies have shown that medium-term spatial memory (between 15 and 20 seconds and a few minutes) is specifically controlled by the parahippocampal cortex, before long-term memorization (i.e., after a few minutes) in the hippocampal formation. These different but complementary study methods used in humans have thus contributed to a better understanding of both eye movement physiology and general cognitive processes preparing motricity as whole."
4,Evidence of activity-dependent withdrawal of corticospinal projections during human development.,"Objective:To characterize the development of ipsilateral corticospinal projections from birth and compare to 1) development of contralateral projections in the same subjects and 2) ipsilateral corticospinal projections in subjects with unilateral lesions of the corticospinal system acquired perinatally or in adulthood.Method:Transcranial magnetic stimulation excited the motor cortex, and responses were recorded bilaterally in pectoralis major, biceps brachii, and the first dorsal interosseus muscles. Subjects studied included 9 neonates recruited at birth, studied longitudinally for 2 years; 85 healthy subjects aged from birth to adulthood; 10 subjects with hemiplegic cerebral palsy; and 8 with hemiplegia after stroke.Results:In neonates, ipsilateral responses had significantly shorter onsets than contralateral responses but similar thresholds and amplitudes. Thresholds within both pathways increased in the first 3 months. Differential development was present from 3 months so that by 18 months ipsilateral responses were significantly smaller and had significantly higher thresholds and longer onset latencies than contralateral responses. A similar pattern of smaller and later ipsilateral responses was observed after transcranial magnetic stimulation of the intact cortex in subjects with stroke. In contrast, subjects with hemiplegic cerebral palsy had ipsilateral responses with onsets, thresholds and amplitudes similar to those of contralateral responses. Significant branching of contralateral corticospinal axons from the intact motor cortex was excluded by cross-correlation analysis.Conclusions:These data, together with previously published anatomic and radiologic studies, are consistent with activity-dependent corticospinal axonal withdrawal during development and maintenance of increased corticomotoneuronal projections from the intact hemisphere after unilateral perinatal lesions."
5,Differences in sensory and motor cortical organization following brain injury early in life.,"There have been a number of physiological studies of motor recovery in hemiplegic cerebral palsy which have identified the presence of novel ipsilateral projections from the undamaged hemisphere to the affected hand. However, little is known regarding the afferent projection to sensory cortex and its relationship to the reorganized cortical motor output. We used transcranial magnetic stimulation (TMS) to investigate the corticomotor projection to the affected and unaffected hands in a group of subjects with hemiplegic cerebral palsy, and also performed functional magnetic resonance imaging (fMRI) studies of the patterns of activation in cortical motor and sensory areas following active and passive movement of the hands. Both TMS and fMRI demonstrated a normal contralateral motor and sensory projection between the unaffected hand and the cerebral hemisphere. However, in the case of the affected hand, the TMS results indicated either a purely ipsilateral projection or a bilateral projection in which the ipsilateral pathway had the lower motor threshold, whereas passive movement resulted in fMRI activation in the contralateral hemisphere. These results demonstrate that there is a significant fast-conducting corticomotor projection to the affected hand from the ipsilateral hemisphere in this group of subjects, but that the predominant afferent projection from the hand is still directed to the affected contralateral hemisphere, resulting in an interhemispheric dissociation between afferent kinesthetic inputs and efferent corticomotor output. The findings indicate that there can be differences in the organization of sensory and motor pathways in cerebral palsy, and suggest that some of the residual motor dysfunction experienced by these subjects could be due to an impairment of sensorimotor integration at cortical level as a result of reorganization in the motor system."
6,Cricopharyngeal sphincter muscle responses to transcranial magnetic stimulation in normal subjects and in patients with dysphagia.,"Objective:Cricopharyngeal (CP) muscle of the upper oesophageal sphincter (UES) has a significant role in the pharyngo-esophageal phase of deglutition. The linkage between the CP muscle of UES and the motor cortex has not been previously studied electrophysiologically in healthy humans and in patients with neurogenic dysphagia.Methods:Needle recordings of EMG responses were carried out from the CP sphincter muscle following transcranial magnetic stimulation (TMS) over the vertex around the Cz electrode position (cortical MEP), and on the parieto-occipital skull and the occiput ipsilaterally (peripheral MEP) in 14 healthy control subjects and in 26 patients with and without neurogenic dysphagia. Needle recordings obtained from the cricothyroid muscle of the larynx were also evaluated in six healthy subjects.Results:The cortical motor latency of CP sphincter muscle was 10.7+/-0.5 ms with an amplitude of 0.8+/-0.2 mV in healthy subjects. Both the latency and amplitude of CP-MEP were facilitated during swallowing. The peripheral MEP of the CP muscle was very stable in all normal subjects (5.1+/-0.3 ms; 1.3+/-0.3 mV) and swallowing did not influence these parameters. The cortically elicited CP-MEP was significantly longer than the cortical MEPs obtained from the cricothyroid muscle of the larynx. In 10 dysphagic patients with corticobulbar tract involvement (6 ALS and 4 pseudobulbar palsy) and with pathologic and hyperreflexic EMG of the CP-sphincter muscle, the cortical MEP of CP muscle of the upper esophageal sphincter could not be elicited, although the peripheral CP-MEPs were obtained. TMS never produced a swallowing movement in neither healthy subjects nor patients.Conclusion:The CP muscle of the upper esophageal sphincter can produce MEPs by cortical TMS and by stimulation at the root/nerve levels of vagus nerve. The MEP latency values and central motor delay suggest that there is an oligosynaptic corticobulbar pathway to the motoneurons of CP muscles. When the pathway is affected by a pathology (i.e. ALS or pseudobulbar palsy) the CP sphincter becomes hyperreflexic due to disinhibition and the cortical MEP of the CP muscle disappears due to degeneration of the corticobulbar pathway. These mechanisms appear to be responsible for the pathogenesis of dysphagia."
7,Reorganization of the motor cortex in a patient with congenital hemiparesis and mirror movements.,"Abnormal branching of corticospinal fibers from the unaffected motor cortex is responsible for mirror movements in patients with congenital hemiparesis, but it is unknown which mechanisms enable these patients to lateralize motor activity. Using multiunit electromyographic analysis and transcranial magnetic stimulation, the authors provide evidence for nonbranched crossed and uncrossed corticospinal projections and intracortical inhibition of the mirror hand. They propose that this remarkable reorganization of the unaffected motor cortex helps these patients to reduce mirror movements."
8,Facial palsy in cerebral venous thrombosis : transcranial stimulation and pathophysiological considerations.,"Background:Cranial nerve palsy in cerebral sinovenous thrombosis (CVT) is rare, its pathophysiology remains unclear, and data from electrophysiological examinations in such patients are missing.Case description:We report the case of a 17-year-old woman with familial protein S deficiency who was admitted with extensive multiple CVT. Two weeks after onset of symptoms, she developed isolated right peripheral facial palsy, and MR venography showed segmental occlusion of the ipsilateral transverse sinus. Complete recovery of facial palsy occurred concomitant with recanalization of the transverse sinus. Facial neurography, including transcranial magnetic stimulation of the facial nerve and related motor cortex, ruled out a coincidental idiopathic palsy and revealed conduction block proximal to the facial canal.Conclusions:Facial palsy in our patient was caused by transient neurapraxia in the intracranial segment of the nerve. We suggest that elevated venous transmural pressure in the nerve's satellite vein, which belongs to the affected drainage territory of the transverse sinus, might have caused venous blood-brain barrier dysfunction in the intrinsic vascular system of the nerve, with leakage of fluids and ions into the endoneurial space and thus an increase in interstitial resistance."
9,Absence of response to early transcranial magnetic stimulation in ischemic stroke patients: prognostic value for hand motor recovery.,"Background and purpose:Transcranial magnetic stimulation (TMS) has been proposed as a prognostic tool in stroke patients. Most of the previous studies agree in considering the presence of motor-evoked potentials (MEPs) in the first days after a stroke as an indicator of good outcome. In the present study, we have assessed the prognostic value of the absence of response to early TMS on hand motor recovery in stroke patients with complete hand palsy at onset due to ischemia in the area of the middle cerebral artery.Methods:Fifteen patients submitted to TMS within 48 hours of stroke onset (defined as day 1) and again after 1 year. They were also evaluated clinically on day 1 by a scale derived from the Medical Research Council (MRC) and by the National Institutes of Health (NIH) stroke scale; they were reevaluated by the same scales and by Barthel Index on day 365.Results:On day 1, all the patients had complete hand palsy and no response to TMS; their NIH scores showed great variability. After 1 year, 6 of 15 patients regained small and prolonged MEPs, together with a very poor and not functionally useful motor recovery. NIH scores were significantly improved. Barthel Index scores showed large interindividual differences and were not correlated with MRC scores.Conclusions:We conclude that in patients with complete hand palsy, the absence of response to TMS in the first hours is predictive of absent or very poor, not useful, hand motor recovery."
